,shape,price,carat,cut,color,clarity,report,type
304,9,480,0.3,3,5,6,1,1
305,9,480,0.32,3,6,5,1,1
306,9,480,0.35,3,5,3,1,1
307,9,480,0.31,3,5,2,1,1
308,2,480,0.3,2,0,3,1,1
309,3,480,0.3,4,4,3,1,1
310,9,480,0.3,1,1,3,1,1
311,7,480,0.3,2,4,7,1,1
312,7,480,0.3,1,3,5,1,1
313,7,480,0.25,2,1,5,1,1
314,6,480,0.31,4,1,3,1,1
315,7,480,0.3,2,2,3,1,1
316,2,480,0.3,2,2,2,1,1
317,2,480,0.3,2,5,4,1,1
318,2,480,0.31,2,5,2,1,1
319,9,480,0.34,3,6,4,1,1
320,9,480,0.3,4,5,2,1,1
321,9,480,0.32,2,5,4,1,1
322,9,480,0.3,4,5,5,1,1
323,9,480,0.3,2,1,3,1,1
324,9,480,0.25,3,1,2,1,1
325,2,480,0.4,1,6,5,1,1
326,9,480,0.3,2,4,3,1,1
327,9,480,0.3,3,5,3,1,1
328,9,480,0.3,2,5,3,1,1
329,2,480,0.35,2,6,7,1,1
330,7,480,0.25,1,1,5,1,1
331,7,480,0.31,1,3,2,1,1
332,7,480,0.3,2,5,2,1,1
333,2,480,0.31,2,5,5,1,1
334,2,480,0.3,3,4,2,1,1
335,6,480,0.3,4,5,5,1,1
336,9,480,0.3,2,3,3,1,1
337,9,480,0.3,3,6,4,1,1
338,9,480,0.3,4,3,3,1,1
339,9,480,0.31,3,3,3,1,1
340,2,480,0.31,3,1,3,1,1
341,9,480,0.3,2,6,2,1,1
342,6,480,0.3,4,2,2,1,1
343,6,480,0.3,2,2,2,1,1
344,9,480,0.3,3,6,2,1,1
345,6,480,0.36,2,5,2,1,1
346,9,480,0.31,2,6,2,1,1
347,2,480,0.31,2,5,7,1,1
348,9,480,0.32,2,6,5,1,1
349,2,480,0.31,2,3,2,1,1
350,4,480,0.3,2,1,2,1,1
351,9,480,0.3,3,3,3,1,1
352,9,480,0.25,3,2,2,1,1
353,9,480,0.33,3,4,2,1,1
354,9,480,0.31,3,6,3,1,1
355,2,480,0.3,4,0,3,1,1
356,9,480,0.3,2,2,3,1,1
357,7,490,0.3,4,3,5,1,1
358,7,490,0.31,2,3,2,1,1
359,7,490,0.3,4,2,2,1,1
360,7,490,0.3,4,1,3,1,1
361,7,490,0.3,1,2,2,1,1
362,7,490,0.26,2,3,7,1,1
363,9,490,0.31,3,5,4,1,1
364,9,490,0.3,3,6,2,1,1
365,2,490,0.33,2,4,2,1,1
366,7,490,0.31,4,4,4,1,1
367,9,490,0.3,4,5,5,1,1
368,9,490,0.31,3,6,5,1,1
369,2,490,0.3,2,2,2,1,1
370,6,490,0.3,2,2,3,1,1
371,7,490,0.3,0,6,4,1,1
372,9,490,0.3,2,1,3,1,1
373,9,490,0.31,3,6,4,1,1
374,9,490,0.33,4,3,3,1,1
375,9,490,0.31,3,3,3,1,1
376,9,490,0.34,2,2,3,1,1
377,9,490,0.32,3,6,5,1,1
378,9,490,0.3,4,4,2,1,1
379,9,490,0.32,4,4,3,1,1
380,9,490,0.34,4,6,4,1,1
381,6,490,0.3,4,3,2,1,1
382,2,490,0.3,4,1,2,1,1
383,3,490,0.3,4,3,3,1,1
384,7,490,0.3,2,4,4,1,1
385,7,490,0.31,1,5,5,1,1
386,7,490,0.26,4,2,5,1,1
387,4,490,0.3,4,2,2,1,1
388,6,490,0.3,2,4,2,1,1
389,9,490,0.3,2,6,7,1,1
390,6,490,0.3,4,2,2,1,1
391,9,490,0.34,3,6,7,1,1
392,9,490,0.32,3,5,3,1,1
393,9,490,0.31,3,3,2,1,1
394,9,490,0.34,3,3,3,1,1
395,9,490,0.27,3,2,2,1,1
396,9,490,0.3,3,2,2,1,1
397,9,490,0.3,2,5,2,1,1
398,6,490,0.3,2,2,2,1,1
399,2,490,0.3,2,2,5,1,1
400,2,490,0.34,2,3,2,1,1
401,7,490,0.3,2,2,2,1,1
402,9,490,0.25,3,2,5,1,1
403,6,490,0.3,4,4,2,1,1
404,7,490,0.3,2,5,2,1,1
405,2,490,0.31,2,5,6,1,1
406,7,490,0.3,2,3,5,1,1
407,7,490,0.27,2,2,5,1,1
408,7,490,0.31,4,3,2,1,1
409,7,490,0.3,1,1,3,1,1
410,7,490,0.31,4,3,5,1,1
411,6,490,0.3,2,1,2,1,1
412,9,490,0.29,4,6,5,1,1
413,6,490,0.33,2,3,3,1,1
414,9,490,0.3,4,3,3,1,1
415,9,490,0.32,3,5,5,1,1
416,9,490,0.35,3,6,4,1,1
417,9,490,0.32,3,5,4,1,1
418,9,490,0.3,3,4,3,1,1
419,9,490,0.26,3,1,2,1,1
420,9,490,0.3,3,5,3,1,1
421,9,490,0.31,3,5,2,1,1
422,9,490,0.26,2,3,4,1,1
423,6,490,0.31,2,3,2,1,1
424,2,490,0.3,2,1,2,1,1
425,4,490,0.3,4,1,2,1,1
426,3,490,0.3,4,4,3,1,1
427,2,490,0.31,2,3,2,1,1
428,7,490,0.25,2,0,4,1,1
429,6,490,0.3,2,5,7,1,1
430,2,490,0.3,4,2,2,1,1
431,9,490,0.3,2,5,4,1,1
432,9,490,0.3,3,6,7,1,1
433,9,490,0.34,3,5,2,1,1
434,9,490,0.3,3,6,4,1,1
435,6,490,0.33,2,4,2,1,1
